name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2021-02-03,8,6.3,7.2,5.2,2.6,4,4.7,84.4,1.283,100,8.33,rain,0,0,53.6,28.1,221.6,991.4,87,15.3,38.3,3.4,2,,2021-02-03T08:05:53,2021-02-03T17:12:33,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-04,9.6,6.5,7.6,7.5,3,4.9,5.6,87.1,2.528,100,16.67,rain,0,0,59.4,27.8,199.4,1000.4,87.6,15.4,41,3.5,3,,2021-02-04T08:04:07,2021-02-04T17:14:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-05,6,2.3,4.3,4.5,0.5,1.9,3.3,92.8,0.149,100,8.33,rain,0,0,23.8,16.5,264.4,1004.9,90.9,14.6,35.3,2.9,3,,2021-02-05T08:02:19,2021-02-05T17:16:29,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME"
dublin,2021-02-06,6,3.8,5.3,2.5,0.3,1.6,4,91.1,1.257,100,16.67,rain,0,0,43.6,26.8,42.8,1009.4,93.4,14.6,17.1,1.5,1,,2021-02-06T08:00:30,2021-02-06T17:18:27,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-07,4.8,1.8,3.1,-0.3,-4.8,-2.8,-1.1,74.6,0.919,100,8.33,rain,0,0,64.8,38.6,86.2,1010.8,92.5,16.9,13.5,1.2,1,,2021-02-07T07:58:39,2021-02-07T17:20:25,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-02-08,2,0.4,1.6,-3.6,-5.7,-4.6,-4.1,66.3,0.173,100,4.17,"rain,snow",0,0,61.2,40.1,82,1009.6,87.9,15.5,19.8,1.6,1,,2021-02-08T07:56:46,2021-02-08T17:22:24,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME,03961099999"
dublin,2021-02-09,1.9,0.4,1.1,-4.3,-5.9,-5.1,-3.9,69.2,1.122,100,8.33,"rain,snow",0.9,0.6,63,37.7,86.5,1009.4,88.3,12.6,26.2,2.3,2,,2021-02-09T07:54:51,2021-02-09T17:24:22,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-10,3,-0.3,1.1,2.6,-6,-3.9,-5,63.9,0.324,100,4.17,"rain,snow",0,1,46.4,34.1,89,1019,71.6,12.5,56.3,4.9,4,,2021-02-10T07:52:55,2021-02-10T17:26:21,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-11,2,0,1,-4.2,-6.9,-5.2,-5.2,63.4,0.7,100,20.83,"rain,snow",0,0.1,70.2,36,115.6,1022.3,83,10.4,19.3,1.4,1,,2021-02-11T07:50:57,2021-02-11T17:28:19,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-12,4,1,2.4,-1.5,-5.8,-3.5,-4.5,60.8,0.4,100,16.67,"rain,snow",0,0,180,36,107.2,1024.1,88,10,52.8,4.5,3,,2021-02-12T07:48:58,2021-02-12T17:30:18,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"F6683,F4142,EIDW,EIME,03967099999"
dublin,2021-02-13,4.3,0,2.4,-1.6,-6.9,-4,-0.2,83.3,0.622,100,4.17,"rain,snow",1.6,1,73.3,45.9,137.9,1019.9,88.6,7.8,28.4,2.2,3,,2021-02-13T07:46:58,2021-02-13T17:32:16,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"03971099999,F6683,F4142,EIDW,03969099999,EIME,03967099999"
dublin,2021-02-14,12.1,4.6,8.6,12.1,-0.8,5.3,6.2,85.4,0.206,100,8.33,rain,0,0,79.9,43.7,167.9,1007.5,73.7,13.2,43.9,3.8,2,,2021-02-14T07:44:56,2021-02-14T17:34:14,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F6683,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-15,12.1,7.1,9.5,12.1,4.3,7.5,6.2,80.3,1.001,100,8.33,rain,0,0,59.8,35.4,182,1008.1,67.6,17.3,67,5.7,4,,2021-02-15T07:42:52,2021-02-15T17:36:12,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F4142,EIDW,03969099999,F8809,03967099999,EIME"
dublin,2021-02-16,10.5,7.1,8.9,10.5,3.6,6.3,4.9,76.1,0.326,100,12.5,rain,0,0,63,33.9,208.3,999.9,52.6,19.8,61.7,5.3,3,,2021-02-16T07:40:48,2021-02-16T17:38:10,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-17,9.7,5.6,7.9,6.4,1.4,4.4,4,76.6,0.565,100,8.33,rain,0,0,76,31.9,192.3,997.1,72.4,18.6,62.7,5.5,3,,2021-02-17T07:38:42,2021-02-17T17:40:08,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-18,10,1.8,5.8,6.6,-2.8,1.5,2.7,80.4,3.339,100,16.67,rain,0,0,71.3,39.3,217.8,993.3,71.5,19.6,79.2,6.9,4,,2021-02-18T07:36:35,2021-02-18T17:42:05,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-19,11.8,6.9,9.7,11.8,2.6,7.8,6.9,82.6,0.632,100,4.17,rain,0,0,88.9,43.9,175.1,990.8,88.3,12.8,50.2,4.4,4,,2021-02-19T07:34:27,2021-02-19T17:44:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2021-02-20,12,7,9.5,12,2.7,7.3,6.8,83.3,1.021,100,4.17,rain,0,0,81,47.5,177.8,988.7,66.8,12.4,40.3,3.4,2,,2021-02-20T07:32:17,2021-02-20T17:46:00,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F6683,F4142,EIDW,03969099999,EIME,03967099999,03961099999"
dublin,2021-02-21,11.6,6.9,8.6,11.6,3.2,5.9,3.5,70.5,0.029,100,8.33,rain,0,0,66.6,34,200.7,1002,75.6,18.2,85.6,7.4,4,,2021-02-21T07:30:07,2021-02-21T17:47:56,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2021-02-22,11.1,3.4,7.6,11.1,0.1,5.1,2.6,71.5,0.001,100,4.17,rain,0,0,61.6,33.7,189.8,1011.2,53.7,19.4,90.3,7.7,4,,2021-02-22T07:27:56,2021-02-22T17:49:53,0.34,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
